Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
Internal Standard,1700606_Blk_1a,Heavy Tryptophan,1.89,6128255,0,1630088,0.2,Internal Standard
Internal Standard,1700606_Blk_1b,Heavy Tryptophan,1.89,5698198,48530,1544068,0.4,Internal Standard
Internal Standard,1700606_Blk_1c,Heavy Tryptophan,1.9,5654569,0,1388433,0.5,Internal Standard
Internal Standard,1700606_Blk_2a,Heavy Tryptophan,1.9,3779341,0,988871,0.2,Internal Standard
Internal Standard,1700606_Blk_2b,Heavy Tryptophan,1.9,3495928,0,953683,0.4,Internal Standard
Internal Standard,1700606_Blk_2c,Heavy Tryptophan,1.9,3470938,0,902204,0.5,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Full1,Heavy Tryptophan,1.89,8479859,0,2350181,0.8,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Full2,Heavy Tryptophan,1.9,8551281,0,2339942,0.6,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Full3,Heavy Tryptophan,1.9,8675196,0,2320676,0.4,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Half1,Heavy Tryptophan,1.91,2788635,0,727698,0.7,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Half2,Heavy Tryptophan,1.9,584798,0,157637,0.7,Internal Standard
Internal Standard,1700606_Poo_Vesicles_Half3,Heavy Tryptophan,1.9,3958296,0,1154183,0.6,Internal Standard
Internal Standard,170606_Blk_ProcessBlk_1,Heavy Tryptophan,1.9,10659098,144301,2981542,1.1,Internal Standard
Internal Standard,170606_Blk_ProcessBlk_2,Heavy Tryptophan,1.9,11231525,0,3054148,1.3,Internal Standard
Internal Standard,170606_Blk_ProcessBlk_3,Heavy Tryptophan,1.9,10669353,0,2973200,0.8,Internal Standard
Internal Standard,170606_Poo_Pro_Full1,Heavy Tryptophan,1.9,8809335,0,2452026,0.2,Internal Standard
Internal Standard,170606_Poo_Pro_Full2,Heavy Tryptophan,1.91,8562598,69981,2336697,0.5,Internal Standard
Internal Standard,170606_Poo_Pro_Full3,Heavy Tryptophan,1.9,8681166,37548,2455899,0.3,Internal Standard
Internal Standard,170606_Poo_Pro_Half1,Heavy Tryptophan,1.92,4849583,61503,1372565,0.6,Internal Standard
Internal Standard,170606_Poo_Pro_Half2,Heavy Tryptophan,1.9,4713660,0,1376451,0.3,Internal Standard
Internal Standard,170606_Poo_Pro_Half3,Heavy Tryptophan,1.91,4483900,8067,1280427,0.5,Internal Standard
Internal Standard,170606_Smp_Pro9312_A,Heavy Tryptophan,1.91,9191180,69834,2518662,0.4,Internal Standard
Internal Standard,170606_Smp_Pro9312_B,Heavy Tryptophan,1.91,8761579,46808,2446141,0.3,Internal Standard
Internal Standard,170606_Smp_Pro9312_C,Heavy Tryptophan,1.92,9135968,63735,2562443,0.6,Internal Standard
Internal Standard,170606_Smp_Pro9313_A,Heavy Tryptophan,1.9,9559978,161047,2695073,0.7,Internal Standard
Internal Standard,170606_Smp_Pro9313_B,Heavy Tryptophan,1.9,9890073,52573,2660766,0.2,Internal Standard
Internal Standard,170606_Smp_Pro9313_C,Heavy Tryptophan,1.9,9160675,3929,2539916,0.4,Internal Standard
Internal Standard,170606_Smp_Vesicle9312_1,Heavy Tryptophan,1.91,3487312,0,938006,0.9,Internal Standard
Internal Standard,170606_Smp_Vesicle9312_2,Heavy Tryptophan,1.89,2367413,15051,636914,0.6,Internal Standard
Internal Standard,170606_Smp_Vesicle9312_3,Heavy Tryptophan,1.87,1102048,0,136812,0.4,Internal Standard
Internal Standard,170606_Smp_Vesicle9313_1,Heavy Tryptophan,1.89,4498003,0,1151256,0.6,Internal Standard
Internal Standard,170606_Smp_Vesicle9313_2,Heavy Tryptophan,1.9,1948155,14219,516874,0.1,Internal Standard
Internal Standard,170606_Smp_Vesicle9313_3,Heavy Tryptophan,1.9,1902352,12833,531086,0.4,Internal Standard
Internal Standard,170606_Std_250nMStdsInAqMatrix_1,Heavy Tryptophan,1.9,7753665,0,1649922,0.5,Internal Standard
