Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
Internal Standard,1700606_Blk_1a-DCM,Heavy Archiodonic Acid,11.92,792583,0,180736,0.5,Internal Standard
Internal Standard,1700606_Blk_1b-DCM,Heavy Archiodonic Acid,11.92,1299974,0,285838,1,Internal Standard
Internal Standard,1700606_Blk_1c-DCM,Heavy Archiodonic Acid,11.92,1554579,16758,346674,0.7,Internal Standard
Internal Standard,1700606_Blk_2a-DCM,Heavy Archiodonic Acid,11.92,670580,1210,165852,1.1,Internal Standard
Internal Standard,1700606_Blk_2b-DCM,Heavy Archiodonic Acid,11.92,1245988,0,285572,0.3,Internal Standard
Internal Standard,1700606_Blk_2c-DCM,Heavy Archiodonic Acid,11.92,1689457,0,336779,0.6,Internal Standard
Internal Standard,170606_Blk_ProcessBlk_DCM1,Heavy Archiodonic Acid,11.92,7902971,0,1545153,-0.4,Internal Standard
Internal Standard,170606_Blk_ProcessBlk_DCM2,Heavy Archiodonic Acid,11.92,8311788,64486,1533853,-0.6,Internal Standard
Internal Standard,170606_Blk_ProcessBlk_DCM3,Heavy Archiodonic Acid,11.92,7143950,130868,1315453,-0.3,Internal Standard
Internal Standard,170606_Poo_Pro_Full1-DCM,Heavy Archiodonic Acid,11.93,8995397,0,1880346,-0.4,Internal Standard
Internal Standard,170606_Poo_Pro_Full2-DCM,Heavy Archiodonic Acid,11.92,15481501,40423,3422197,-0.9,Internal Standard
Internal Standard,170606_Poo_Pro_Full3-DCM,Heavy Archiodonic Acid,11.93,21386030,263139,4855182,-1.2,Internal Standard
Internal Standard,170606_Poo_Pro_Half1-DCM,Heavy Archiodonic Acid,11.92,5444714,0,1083472,-0.4,Internal Standard
Internal Standard,170606_Poo_Pro_Half2-DCM,Heavy Archiodonic Acid,11.92,9683351,0,1915091,-0.1,Internal Standard
Internal Standard,170606_Poo_Pro_Half3-DCM,Heavy Archiodonic Acid,11.92,13025702,53759,2765089,-0.6,Internal Standard
Internal Standard,170606_Poo_Vesicles_Full1-DCM,Heavy Archiodonic Acid,11.9,398144,0,113153,-1.3,Internal Standard
Internal Standard,170606_Poo_Vesicles_Full2-DCM,Heavy Archiodonic Acid,11.91,576381,0,150852,-1.2,Internal Standard
Internal Standard,170606_Poo_Vesicles_Full3-DCM,Heavy Archiodonic Acid,11.9,611974,0,179810,-1.2,Internal Standard
Internal Standard,170606_Poo_Vesicles_Half1-DCM,Heavy Archiodonic Acid,11.91,285592,0,97864,-1.2,Internal Standard
Internal Standard,170606_Poo_Vesicles_Half2-DCM,Heavy Archiodonic Acid,11.9,1069237,0,314368,-1.7,Internal Standard
Internal Standard,170606_Poo_Vesicles_Half3-DCM,Heavy Archiodonic Acid,11.9,1338102,0,387415,-1.7,Internal Standard
Internal Standard,170606_Smp_Pro9312_A-DCM,Heavy Archiodonic Acid,11.91,5986356,0,1237957,-0.6,Internal Standard
Internal Standard,170606_Smp_Pro9312_B-DCM,Heavy Archiodonic Acid,11.91,8910331,0,1864847,0.1,Internal Standard
Internal Standard,170606_Smp_Pro9312_C-DCM,Heavy Archiodonic Acid,11.91,6244634,0,1271437,-0.8,Internal Standard
Internal Standard,170606_Smp_Pro9313_A-DCM,Heavy Archiodonic Acid,11.92,10267744,235143,2269150,-0.8,Internal Standard
Internal Standard,170606_Smp_Pro9313_B-DCM,Heavy Archiodonic Acid,11.92,12032561,0,2258803,-0.3,Internal Standard
Internal Standard,170606_Smp_Pro9313_C-DCM,Heavy Archiodonic Acid,11.93,13992684,216761,2817924,-0.6,Internal Standard
Internal Standard,170606_Smp_Vesicle9312_1-DCM,Heavy Archiodonic Acid,11.91,132842,0,52660,-1.4,Internal Standard
Internal Standard,170606_Smp_Vesicle9312_2-DCM,Heavy Archiodonic Acid,11.91,596757,0,129321,-0.8,Internal Standard
Internal Standard,170606_Smp_Vesicle9312_3-DCM,Heavy Archiodonic Acid,11.9,473762,0,112224,-0.6,Internal Standard
Internal Standard,170606_Smp_Vesicle9313_1-DCM,Heavy Archiodonic Acid,11.91,288762,0,128238,-1.5,Internal Standard
Internal Standard,170606_Smp_Vesicle9313_2-DCM,Heavy Archiodonic Acid,11.91,254339,0,105348,-1.4,Internal Standard
Internal Standard,170606_Smp_Vesicle9313_3-DCM,Heavy Archiodonic Acid,11.91,457169,0,152271,-1.3,Internal Standard
Internal Standard,170606_Std_250nMStdsInDCM-Matrix_1,Heavy Archiodonic Acid,11.92,12866309,0,2619979,-0.9,Internal Standard
Internal Standard,170606_Std_250nMStdsInDCM-Matrix_2,Heavy Archiodonic Acid,11.91,14310655,205511,2853861,-0.7,Internal Standard
Internal Standard,1700606_Blk_1a-DCM,Heavy Phenylalanine,0.8,23235808,0,17180568,-0.1,Internal Standard
Internal Standard,1700606_Blk_1b-DCM,Heavy Phenylalanine,0.79,21661574,0,17309098,-0.1,Internal Standard
