Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
Internal Standard,170601_Blk_1a,Heavy Acetyl CoA,11.01,2691791,0,91940,2.3,Internal Standard
Internal Standard,170601_Blk_1b,Heavy Acetyl CoA,10.67,2397025,0,101587,2.4,Internal Standard
Internal Standard,170601_Blk_1c,Heavy Acetyl CoA,10.7,2507867,0,113761,2.5,Internal Standard
Internal Standard,170601_Blk_2a,Heavy Acetyl CoA,10.75,1696480,0,123479,2.6,Internal Standard
Internal Standard,170601_Blk_2b,Heavy Acetyl CoA,10.8,1667679,0,151513,2.2,Internal Standard
Internal Standard,170601_Blk_2c,Heavy Acetyl CoA,10.77,1825447,0,162223,2.4,Internal Standard
Internal Standard,170601_Blk_ProcessBlk_1,Heavy Acetyl CoA,11.39,4637581,0,97251,2,Internal Standard
Internal Standard,170601_Blk_ProcessBlk_2,Heavy Acetyl CoA,11.57,4776600,0,101259,1.8,Internal Standard
Internal Standard,170601_Blk_ProcessBlk_3,Heavy Acetyl CoA,11.58,5209969,0,99011,2.1,Internal Standard
Internal Standard,170601_Poo_Pro_Full1,Heavy Acetyl CoA,11.16,4040544,0,101527,1.9,Internal Standard
Internal Standard,170601_Poo_Pro_Full2,Heavy Acetyl CoA,11.21,4226252,0,111555,1.5,Internal Standard
Internal Standard,170601_Poo_Pro_Full3,Heavy Acetyl CoA,11.29,4021012,0,110904,1.5,Internal Standard
Internal Standard,170601_Poo_Pro_Half1,Heavy Acetyl CoA,11.73,1334152,0,53529,1.5,Internal Standard
Internal Standard,170601_Poo_Pro_Half2,Heavy Acetyl CoA,11.05,1509138,0,62432,1.5,Internal Standard
Internal Standard,170601_Poo_Pro_Half3,Heavy Acetyl CoA,11.13,1686085,0,76854,1.7,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full1,Heavy Acetyl CoA,10.59,2643011,0,161709,2.8,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full2,Heavy Acetyl CoA,10.53,2798380,0,171442,2.4,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full3,Heavy Acetyl CoA,10.53,2748588,0,166821,2.1,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half1,Heavy Acetyl CoA,10.54,1015656,0,64970,2.7,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half2,Heavy Acetyl CoA,10.41,1140046,0,73342,2.1,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half3,Heavy Acetyl CoA,10.49,1149561,0,69212,2.5,Internal Standard
Internal Standard,170601_Smp_Pro9312_A,Heavy Acetyl CoA,11.76,3904763,0,85628,1.5,Internal Standard
Internal Standard,170601_Smp_Pro9312_B,Heavy Acetyl CoA,11.23,4353845,0,141888,2.1,Internal Standard
Internal Standard,170601_Smp_Pro9312_C,Heavy Acetyl CoA,11.21,3562544,0,85024,1.8,Internal Standard
Internal Standard,170601_Smp_Pro9313_A,Heavy Acetyl CoA,11.29,4727912,0,116822,1.8,Internal Standard
Internal Standard,170601_Smp_Pro9313_B,Heavy Acetyl CoA,11.22,4663995,0,94681,1.7,Internal Standard
Internal Standard,170601_Smp_Pro9313_C,Heavy Acetyl CoA,11.16,3994583,0,100812,1.9,Internal Standard
Internal Standard,170601_Smp_Vesicle9312_1,Heavy Acetyl CoA,10.62,2667321,0,185115,2.9,Internal Standard
Internal Standard,170601_Smp_Vesicle9312_2,Heavy Acetyl CoA,10.62,2308783,0,154043,1.9,Internal Standard
Internal Standard,170601_Smp_Vesicle9312_3,Heavy Acetyl CoA,10.53,2844037,0,160274,2.3,Internal Standard
Internal Standard,170601_Smp_Vesicle9313_1,Heavy Acetyl CoA,10.59,2915455,0,224863,2.7,Internal Standard
Internal Standard,170601_Smp_Vesicle9313_2,Heavy Acetyl CoA,10.56,2643275,0,153035,2.2,Internal Standard
Internal Standard,170601_Smp_Vesicle9313_3,Heavy Acetyl CoA,10.56,2524595,0,148742,2.7,Internal Standard
Internal Standard,170601_Std_4uMStdsInMatrix_1,Heavy Acetyl CoA,11.01,11636559,0,217887,-2.9,Internal Standard
Internal Standard,170601_Std_4uMStdsInMatrix_2,Heavy Acetyl CoA,10.62,13906422,0,220468,-3.2,Internal Standard
Internal Standard,170601_Std_4uMStdsInMatrix_3,Heavy Acetyl CoA,10.09,16951008,0,268066,-3,Internal Standard
Internal Standard,170601_Blk_1a,Heavy Sulfoacetic Acid,13.39,69086952,0,6124611,-6.9,Internal Standard
Internal Standard,170601_Blk_1b,Heavy Sulfoacetic Acid,13.39,71162752,0,6373440,-7.1,Internal Standard
Internal Standard,170601_Blk_1c,Heavy Sulfoacetic Acid,13.37,70906712,0,6231872,-7,Internal Standard
Internal Standard,170601_Blk_2a,Heavy Sulfoacetic Acid,13.42,68717920,0,6374716,-7,Internal Standard
Internal Standard,170601_Blk_2b,Heavy Sulfoacetic Acid,13.44,72845864,0,6995194,-7,Internal Standard
Internal Standard,170601_Blk_2c,Heavy Sulfoacetic Acid,13.42,74590048,0,7251294,-6.9,Internal Standard
Internal Standard,170601_Blk_ProcessBlk_1,Heavy Sulfoacetic Acid,13.47,31664914,0,2336942,-7.1,Internal Standard
Internal Standard,170601_Blk_ProcessBlk_2,Heavy Sulfoacetic Acid,13.44,32859932,152862,2372828,-7,Internal Standard
Internal Standard,170601_Blk_ProcessBlk_3,Heavy Sulfoacetic Acid,13.3,20058026,573027,1472082,-6.9,Internal Standard
Internal Standard,170601_Poo_Pro_Full1,Heavy Sulfoacetic Acid,13.41,70375968,0,16639157,-6.4,Internal Standard
Internal Standard,170601_Poo_Pro_Full2,Heavy Sulfoacetic Acid,13.41,61475352,1213234,14493804,-6.8,Internal Standard
Internal Standard,170601_Poo_Pro_Full3,Heavy Sulfoacetic Acid,13.41,64077408,1149254,14617261,-7,Internal Standard
Internal Standard,170601_Poo_Pro_Half1,Heavy Sulfoacetic Acid,13.49,34231840,0,7385803,-7,Internal Standard
Internal Standard,170601_Poo_Pro_Half2,Heavy Sulfoacetic Acid,13.45,33359778,0,8064865,-6.6,Internal Standard
Internal Standard,170601_Poo_Pro_Half3,Heavy Sulfoacetic Acid,13.44,33072336,0,8878555,-7,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full1,Heavy Sulfoacetic Acid,13.31,69655368,82151,6727716,-6.8,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full2,Heavy Sulfoacetic Acid,13.23,73326232,0,6555161,-6.6,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full3,Heavy Sulfoacetic Acid,13.23,75044296,0,6860490,-6.9,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half1,Heavy Sulfoacetic Acid,13.28,39313212,0,3527890,-7,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half2,Heavy Sulfoacetic Acid,13.17,39522932,0,3523526,-6.6,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half3,Heavy Sulfoacetic Acid,13.17,40862708,0,3764278,-6.8,Internal Standard
Internal Standard,170601_Smp_Pro9312_A,Heavy Sulfoacetic Acid,13.44,72542576,0,16577314,-7.2,Internal Standard
Internal Standard,170601_Smp_Pro9312_B,Heavy Sulfoacetic Acid,13.43,67095156,329871,15377214,-6.4,Internal Standard
Internal Standard,170601_Smp_Pro9312_C,Heavy Sulfoacetic Acid,13.44,65705344,0,15224866,-6.6,Internal Standard
Internal Standard,170601_Smp_Pro9313_A,Heavy Sulfoacetic Acid,13.43,64813656,0,14855679,-6.6,Internal Standard
Internal Standard,170601_Smp_Pro9313_B,Heavy Sulfoacetic Acid,13.43,61138976,0,14370981,-6.8,Internal Standard
Internal Standard,170601_Smp_Pro9313_C,Heavy Sulfoacetic Acid,13.42,61088612,0,14612919,-6.8,Internal Standard
Internal Standard,170601_Smp_Vesicle9312_1,Heavy Sulfoacetic Acid,13.34,71050576,589966,6844540,-6.6,Internal Standard
Internal Standard,170601_Smp_Vesicle9312_2,Heavy Sulfoacetic Acid,13.31,70564088,0,7039151,-7.1,Internal Standard
Internal Standard,170601_Smp_Vesicle9312_3,Heavy Sulfoacetic Acid,13.26,74311864,0,6530501,-7,Internal Standard
Internal Standard,170601_Smp_Vesicle9313_1,Heavy Sulfoacetic Acid,13.31,66151108,170177,6175608,-6.6,Internal Standard
Internal Standard,170601_Smp_Vesicle9313_2,Heavy Sulfoacetic Acid,13.25,69000688,0,6022667,-7.2,Internal Standard
Internal Standard,170601_Smp_Vesicle9313_3,Heavy Sulfoacetic Acid,13.33,67542112,0,6370479,-6.7,Internal Standard
Internal Standard,170601_Std_4uMStdsInMatrix_1,Heavy Sulfoacetic Acid,13.65,8583283,0,1041687,-6.5,Internal Standard
Internal Standard,170601_Std_4uMStdsInMatrix_2,Heavy Sulfoacetic Acid,13.41,10907997,0,1051958,-6.7,Internal Standard
Internal Standard,170601_Std_4uMStdsInMatrix_3,Heavy Sulfoacetic Acid,12.99,10411137,0,726843,-6.5,Internal Standard
Internal Standard,170601_Blk_1a,Heavy Succinic Acid,11.76,73046744,0,5192801,-8.7,Internal Standard
Internal Standard,170601_Blk_1b,Heavy Succinic Acid,11.77,92710000,0,5043868,-8.8,Internal Standard
Internal Standard,170601_Blk_1c,Heavy Succinic Acid,11.74,73087792,2008435,5019292,-7.7,Internal Standard
Internal Standard,170601_Blk_2a,Heavy Succinic Acid,11.84,107979744,236287,6531402,-8.8,Internal Standard
Internal Standard,170601_Blk_2b,Heavy Succinic Acid,11.84,114183296,2631908,7345341,-8.9,Internal Standard
Internal Standard,170601_Blk_2c,Heavy Succinic Acid,11.82,109111984,2700594,7035808,-8.6,Internal Standard
Internal Standard,170601_Blk_ProcessBlk_1,Heavy Succinic Acid,11.92,17605322,0,5495378,-5.4,Internal Standard
Internal Standard,170601_Blk_ProcessBlk_2,Heavy Succinic Acid,11.74,15171648,0,4081397,-4.6,Internal Standard
Internal Standard,170601_Blk_ProcessBlk_3,Heavy Succinic Acid,11.63,65985540,0,7115428,-5.5,Internal Standard
Internal Standard,170601_Poo_Pro_Full1,Heavy Succinic Acid,11.79,148882016,1877747,11940413,-8.6,Internal Standard
Internal Standard,170601_Poo_Pro_Full2,Heavy Succinic Acid,11.82,125770696,117890,10408620,-8.6,Internal Standard
Internal Standard,170601_Poo_Pro_Full3,Heavy Succinic Acid,11.82,114465760,0,10175873,-8.9,Internal Standard
Internal Standard,170601_Poo_Pro_Half1,Heavy Succinic Acid,11.84,42405560,0,6676024,-8.5,Internal Standard
Internal Standard,170601_Poo_Pro_Half2,Heavy Succinic Acid,11.76,70769200,342758,5397900,-8.9,Internal Standard
Internal Standard,170601_Poo_Pro_Half3,Heavy Succinic Acid,11.86,17349872,0,2971244,-8.7,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full1,Heavy Succinic Acid,11.68,109360000,2481175,4979002,-8.6,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full2,Heavy Succinic Acid,11.57,122155144,0,5674420,-8.6,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full3,Heavy Succinic Acid,11.53,110370528,1458009,4921093,-8.8,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half1,Heavy Succinic Acid,11.58,36375812,0,2246574,-8.7,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half2,Heavy Succinic Acid,11.44,54678844,0,2494182,-8.8,Internal Standard
