Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
Internal Standard,170601_Blk_1a,Heavy Histidine,10.85,10756826,475674,1059661,0.7,Internal Standard
Internal Standard,170601_Blk_1b,Heavy Histidine,10.85,12770269,0,1208026,0.6,Internal Standard
Internal Standard,170601_Blk_1c,Heavy Histidine,10.84,11038793,0,1050838,0.8,Internal Standard
Internal Standard,170601_Blk_2a,Heavy Histidine,10.93,2512321,0,250850,1,Internal Standard
Internal Standard,170601_Blk_2b,Heavy Histidine,10.9,2513851,0,256437,0.9,Internal Standard
Internal Standard,170601_Blk_2c,Heavy Histidine,10.92,2361002,0,283459,1,Internal Standard
Internal Standard,170601_Poo_Pro_Full1,Heavy Histidine,10.57,257168544,3752955,20505530,0.5,Internal Standard
Internal Standard,170601_Poo_Pro_Full2,Heavy Histidine,10.58,255453504,1576740,18675688,0.5,Internal Standard
Internal Standard,170601_Poo_Pro_Full3,Heavy Histidine,10.57,266457072,2709842,18034868,0.3,Internal Standard
Internal Standard,170601_Poo_Pro_Half1,Heavy Histidine,10.55,128458280,2399062,9205915,0.5,Internal Standard
Internal Standard,170601_Poo_Pro_Half2,Heavy Histidine,10.5,125537352,282642,7170931,0.7,Internal Standard
Internal Standard,170601_Poo_Pro_Half3,Heavy Histidine,10.52,132324648,46205,7840936,0.4,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full1,Heavy Histidine,10.77,9627191,0,978336,1.3,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full2,Heavy Histidine,10.76,8600921,476064,926616,0.7,Internal Standard
Internal Standard,170601_Poo_Vesicles_Full3,Heavy Histidine,10.71,9173954,0,952355,0.9,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half1,Heavy Histidine,10.51,7962683,813,816389,0.6,Internal Standard
Internal Standard,170601_Poo_Vesicles_Half2,Heavy Histidine,10.47,8746159,0,1011988,1,Internal Standard
